exp( 24.50)=4.3673179098e+10,  your_exp=4.3673179098e+10,  abs_err=2.28882e-05,  rel_err=5.2407871528e-16
exp( 25.00)=7.2004899337e+10,  your_exp=7.2004899337e+10,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 25.50)=1.1871600913e+11,  your_exp=1.1871600913e+11,  abs_err=3.05176e-05,  rel_err=2.5706371321e-16
exp( 26.00)=1.9572960943e+11,  your_exp=1.9572960943e+11,  abs_err=3.05176e-05,  rel_err=1.5591702356e-16
exp( 26.50)=3.2270357037e+11,  your_exp=3.2270357037e+11,  abs_err=1.22070e-04,  rel_err=3.7827382064e-16
exp( 27.00)=5.3204824060e+11,  your_exp=5.3204824060e+11,  abs_err=1.83105e-04,  rel_err=3.4415200498e-16
exp( 27.50)=8.7719925132e+11,  your_exp=8.7719925132e+11,  abs_err=2.44141e-04,  rel_err=2.7831832350e-16
exp( 28.00)=1.4462570643e+12,  your_exp=1.4462570643e+12,  abs_err=1.22070e-03,  rel_err=8.4404298180e-16
exp( 28.50)=2.3844747848e+12,  your_exp=2.3844747848e+12,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exp( 29.00)=3.9313342971e+12,  your_exp=3.9313342971e+12,  abs_err=4.88281e-04,  rel_err=1.2420242419e-16
exp( 29.50)=6.4816744779e+12,  your_exp=6.4816744779e+12,  abs_err=9.76562e-04,  rel_err=1.5066515656e-16
